,runs,C0,C1,C2,C3,Cfast,zig,Julia,PyPy,Python,Py
0,10.0,0.022748231887817383,0.023783445358276367,0.02395176887512207,0.023357391357421875,0.024417400360107422,0.029729127883911133,0.30931878089904785,0.10104036331176758,0.0422055721282959,0.11428666114807129
1,10.0,0.018990039825439453,0.017461061477661133,0.020766496658325195,0.018929004669189453,0.01816248893737793,0.016742467880249023,0.29404473304748535,0.09572887420654297,0.04211735725402832,0.11327052116394043
2,10.0,0.019562959671020508,0.0177001953125,0.01756429672241211,0.01957535743713379,0.018610477447509766,0.018475055694580078,0.2995779514312744,0.09254646301269531,0.0427403450012207,0.10857725143432617
3,1000.0,0.0218660831451416,0.019534826278686523,0.01786971092224121,0.019795656204223633,0.0177915096282959,0.017024517059326172,0.2924072742462158,0.10036420822143555,0.11709308624267578,0.2230830192565918
4,12000.0,0.021765470504760742,0.01994156837463379,0.018944501876831055,0.01961660385131836,0.017817020416259766,0.01673150062561035,0.30414462089538574,0.11168098449707031,0.10748767852783203,0.19790172576904297
5,23000.0,0.027626752853393555,0.022459745407104492,0.020740747451782227,0.01936793327331543,0.02180647850036621,0.019373178482055664,0.3146834373474121,0.12096428871154785,0.23201298713684082,0.36403846740722656
6,34000.0,0.030156373977661133,0.024410247802734375,0.02165818214416504,0.021494150161743164,0.023534297943115234,0.021111726760864258,0.3195040225982666,0.129624605178833,0.41533493995666504,0.6071021556854248
7,45000.0,0.04078173637390137,0.02852320671081543,0.02394890785217285,0.024391651153564453,0.02476811408996582,0.022728681564331055,0.330047607421875,0.1405048370361328,0.6523537635803223,0.9338099956512451
8,56000.0,0.057810068130493164,0.03193068504333496,0.026551008224487305,0.026317358016967773,0.027492761611938477,0.023816585540771484,0.3310258388519287,0.15462446212768555,0.9475369453430176,1.3460628986358643
9,67000.0,0.06204819679260254,0.036241769790649414,0.029516935348510742,0.02876591682434082,0.030002832412719727,0.026365995407104492,0.3349175453186035,0.1701817512512207,1.3126022815704346,1.812509298324585
10,78000.0,0.07634449005126953,0.04129195213317871,0.030364513397216797,0.030460119247436523,0.03271126747131348,0.027683734893798828,0.34523749351501465,0.1864326000213623,1.7469451427459717,2.405897617340088
11,89000.0,0.09169697761535645,0.05081892013549805,0.03474760055541992,0.03569388389587402,0.03815126419067383,0.029506921768188477,0.35874485969543457,0.20676374435424805,2.2257587909698486,3.077937602996826
12,100000.0,0.1114499568939209,0.05540323257446289,0.03881359100341797,0.03917551040649414,0.041635990142822266,0.03337717056274414,0.37435483932495117,0.25084471702575684,2.8174376487731934,3.8533785343170166
13,100000.0,0.11027121543884277,0.05679488182067871,0.0373072624206543,0.03932499885559082,0.0393068790435791,0.032827138900756836,0.361743688583374,0.25176453590393066,,
14,200000.0,0.3616597652435303,0.15564465522766113,0.08674764633178711,0.08817505836486816,0.08980846405029297,0.06493759155273438,0.44690728187561035,0.5223572254180908,,
15,300000.0,0.7831275463104248,0.32158923149108887,0.1623830795288086,0.17200183868408203,0.17295503616333008,0.11852478981018066,0.5988779067993164,1.3036930561065674,,
16,400000.0,1.4010727405548096,0.5456416606903076,0.2632267475128174,0.28404712677001953,0.282703161239624,0.18990564346313477,0.7677552700042725,1.799048662185669,,
17,500000.0,2.176246166229248,0.8142898082733154,0.39487481117248535,0.43088316917419434,0.4226498603820801,0.2774922847747803,0.927830696105957,2.7282536029815674,,
18,600000.0,3.051476001739502,1.1081466674804688,0.5542299747467041,0.6018297672271729,0.5927836894989014,0.38492584228515625,1.1282825469970703,4.727522373199463,,
19,700000.0,4.2136070728302,1.456545352935791,0.7506945133209229,0.8133659362792969,0.8013789653778076,0.5165464878082275,1.3933501243591309,5.1920881271362305,,
20,800000.0,5.438977241516113,1.9705286026000977,0.9560904502868652,1.042278528213501,1.0187678337097168,0.6499741077423096,1.5641255378723145,8.267427206039429,,
21,900000.0,7.076836585998535,2.3212685585021973,1.2032740116119385,1.3194258213043213,1.2869789600372314,0.818195104598999,1.939321756362915,10.481931686401367,,
22,1000000.0,8.417447328567505,2.9241292476654053,1.4767920970916748,1.6193556785583496,1.5768885612487793,1.008911371231079,2.2211458683013916,12.860682249069214,,
