,runs,C0,C1,C2,C3,Cfast,zig,zig_buff,Julia,Win Julia,Win PyPy,PyPy,Python,Win Python,Win Python 11
0,1000.0,0.02013230323791504,0.01969122886657715,0.020952701568603516,0.019878387451171875,0.020629405975341797,0.03313899040222168,0.025868892669677734,0.24735093116760254,0.2523322105407715,0.09837222099304199,0.09982562065124512,0.04257035255432129,0.1161797046661377,0.08632516860961914
1,112000.0,0.02034449577331543,0.02033829689025879,0.019902944564819336,0.02164006233215332,0.02054762840270996,0.8425087928771973,0.01577448844909668,0.2702209949493408,0.267932653427124,0.1336076259613037,0.10328245162963867,0.06006956100463867,0.2074601650238037,0.18195247650146484
2,223000.0,0.026355266571044922,0.02710270881652832,0.027208566665649414,0.026623010635375977,0.0274808406829834,1.6681454181671143,0.017248153686523438,0.31506943702697754,0.3096194267272949,0.18114590644836426,0.1053154468536377,0.07976007461547852,0.3031904697418213,0.273637056350708
3,334000.0,0.03245353698730469,0.03312277793884277,0.03280949592590332,0.03283858299255371,0.03198814392089844,2.488006830215454,0.018673181533813477,0.3699154853820801,0.33449482917785645,0.20920801162719727,0.10518455505371094,0.09875249862670898,0.39290714263916016,0.3656423091888428
4,445000.0,0.03968167304992676,0.039406538009643555,0.03781270980834961,0.038207054138183594,0.03777575492858887,3.310649871826172,0.02083587646484375,0.40679121017456055,0.3480260372161865,0.24612045288085938,0.11466526985168457,0.12340331077575684,0.4987351894378662,0.4333500862121582
5,556000.0,0.04412412643432617,0.0442965030670166,0.04553532600402832,0.04486083984375,0.044709205627441406,4.1128621101379395,0.021981477737426758,0.43111324310302734,0.3730347156524658,0.2823069095611572,0.1146702766418457,0.14111924171447754,0.5906157493591309,0.5246608257293701
6,667000.0,0.049176692962646484,0.049532175064086914,0.05044865608215332,0.05114102363586426,0.050125837326049805,4.93722677230835,0.02494072914123535,0.46328139305114746,0.3749656677246094,0.3303041458129883,0.11386299133300781,0.15433502197265625,0.6704812049865723,0.5914971828460693
7,778000.0,0.05713844299316406,0.056577205657958984,0.058243751525878906,0.05502676963806152,0.05812382698059082,5.762883901596069,0.02713799476623535,0.4940977096557617,0.40930771827697754,0.3603792190551758,0.12072491645812988,0.176041841506958,0.8041763305664062,0.6881389617919922
8,889000.0,0.060651302337646484,0.08094239234924316,0.06414222717285156,0.06296014785766602,0.06318163871765137,6.552039861679077,0.02866196632385254,0.5294535160064697,0.41468214988708496,0.4000215530395508,0.12420225143432617,0.20201969146728516,0.8948955535888672,0.7769439220428467
9,1000000.0,0.06850790977478027,0.06877279281616211,0.06937646865844727,0.0683896541595459,0.07046937942504883,7.362947940826416,0.0313258171081543,0.5707311630249023,0.4350852966308594,0.44816017150878906,0.12620186805725098,0.2155911922454834,1.0130596160888672,0.9007117748260498
