,runs,C0,C1,C2,C3,Cfast,clang,zig,Java,Julia,PyPy,Python,Win Python,Win Python 11
0,5e-07,0.31020569801330566,0.06531715393066406,0.05810260772705078,0.05873513221740723,0.05054664611816406,0.04720115661621094,0.06461095809936523,0.1475813388824463,0.2705104351043701,0.14082050323486328,1.9555444717407227,3.878802537918091,3.8637614250183105
1,1.5555555555555556e-06,0.10802626609802246,0.02942633628845215,0.027161359786987305,0.028640031814575195,0.024285554885864258,0.024131298065185547,0.02556586265563965,0.09671425819396973,0.2336738109588623,0.11044025421142578,0.6602613925933838,1.3191783428192139,1.290358304977417
2,2.6111111111111113e-06,0.06925368309020996,0.022662878036499023,0.022177457809448242,0.021676301956176758,0.019912242889404297,0.019583702087402344,0.021958351135253906,0.08877301216125488,0.22818279266357422,0.09984803199768066,0.40675854682922363,0.829258918762207,0.8033506870269775
3,3.666666666666667e-06,0.05587267875671387,0.020969152450561523,0.01796722412109375,0.019080162048339844,0.019815683364868164,0.018289804458618164,0.018169403076171875,0.08492136001586914,0.23336386680603027,0.0990297794342041,0.301861047744751,0.6209044456481934,0.5935657024383545
4,4.722222222222223e-06,0.04472684860229492,0.01955437660217285,0.01836681365966797,0.0177457332611084,0.018545866012573242,0.01748061180114746,0.018810272216796875,0.0850527286529541,0.22643637657165527,0.09790444374084473,0.23889565467834473,0.5095934867858887,0.48055529594421387
5,5.777777777777779e-06,0.04054856300354004,0.01856827735900879,0.018804073333740234,0.016879558563232422,0.016243696212768555,0.01576066017150879,0.016292095184326172,0.08403372764587402,0.22437405586242676,0.09800076484680176,0.20577335357666016,0.4346907138824463,0.40989184379577637
6,6.8333333333333345e-06,0.03718829154968262,0.01796555519104004,0.017338275909423828,0.017833471298217773,0.018398523330688477,0.018908262252807617,0.01739048957824707,0.08309674263000488,0.22302842140197754,0.09408926963806152,0.17779922485351562,0.3825106620788574,0.3664257526397705
7,7.88888888888889e-06,0.03368353843688965,0.018033266067504883,0.01737689971923828,0.01690196990966797,0.016735076904296875,0.016272544860839844,0.01641702651977539,0.08566427230834961,0.22379755973815918,0.09492921829223633,0.16406464576721191,0.34516334533691406,0.32681918144226074
8,8.944444444444446e-06,0.03140521049499512,0.017169475555419922,0.016278505325317383,0.01795363426208496,0.015614748001098633,0.016671180725097656,0.014725446701049805,0.08323192596435547,0.22728252410888672,0.0927572250366211,0.14857268333435059,0.31432175636291504,0.2971377372741699
9,1e-05,0.028242111206054688,0.015649080276489258,0.015056133270263672,0.015480995178222656,0.014158964157104492,0.014271259307861328,0.01430201530456543,0.08376646041870117,0.22775888442993164,0.0938873291015625,0.136702299118042,0.29375147819519043,0.27553677558898926
10,5e-08,2.9495084285736084,0.4825174808502197,0.40702176094055176,0.40569424629211426,0.3211631774902344,0.2958860397338867,0.4038534164428711,0.5507044792175293,0.6134364604949951,0.4864218235015869,,,
11,1e-07,1.4739935398101807,0.2497403621673584,0.21133637428283691,0.21097874641418457,0.166978120803833,0.1547396183013916,0.2084512710571289,0.3156909942626953,0.4152545928955078,0.29346227645874023,,,
12,1.5e-07,0.985720157623291,0.17075324058532715,0.1456294059753418,0.1461048126220703,0.11671113967895508,0.10769963264465332,0.14355206489562988,0.24037742614746094,0.35460472106933594,0.22425508499145508,,,
13,2e-07,0.7492461204528809,0.1309187412261963,0.11279654502868652,0.11352181434631348,0.09121584892272949,0.08530664443969727,0.10963582992553711,0.19832921028137207,0.31999802589416504,0.19466352462768555,,,
14,2.5e-07,0.6007301807403564,0.10859227180480957,0.09222292900085449,0.09263753890991211,0.07593464851379395,0.07099008560180664,0.09298062324523926,0.17648911476135254,0.30033063888549805,0.17470002174377441,,,
15,3e-07,0.5019574165344238,0.09379839897155762,0.0794980525970459,0.08128786087036133,0.06899595260620117,0.06307673454284668,0.07902002334594727,0.16186189651489258,0.28723835945129395,0.15880584716796875,,,
16,3.5e-07,0.43693065643310547,0.08140254020690918,0.0728003978729248,0.07071089744567871,0.05875396728515625,0.053971052169799805,0.06962990760803223,0.1484673023223877,0.2823779582977295,0.14980792999267578,,,
17,4e-07,0.37845516204833984,0.07271671295166016,0.06443476676940918,0.06359982490539551,0.05221891403198242,0.0502018928527832,0.06231880187988281,0.1391904354095459,0.2711493968963623,0.14463043212890625,,,
18,4.5e-07,0.34160327911376953,0.0674591064453125,0.05771827697753906,0.05753827095031738,0.04978299140930176,0.04639434814453125,0.05607032775878906,0.13405394554138184,0.266002893447876,0.13548493385314941,,,
19,5e-07,0.30707406997680664,0.06085348129272461,0.05397820472717285,0.05377197265625,0.04519486427307129,0.04224872589111328,0.0536799430847168,0.1333599090576172,0.26661229133605957,0.1444988250732422,,,
